player_id,player_name,age,country,role,batting_style,batting_position,bowling_style,bowling_type,base_price_in_lakhs,batting_form_score,bowling_form_score,matches_played,recent_form_score,consistency_index,impact_score
1,Yashasvi Jaiswal,24,India,Batter,LHB,Toporder,0,0,200,0.8284549725899176,0.0,14,82.85,4.02,79.86
2,Ishan Kishan,27,India,Wicketkeeper Batter,LHB,Toporder,0,0,200,0.7621906211280056,0.0,14,76.22,2.64,57.09
3,Rinku Singh,28,India,Batter,LHB,Toporder,0,0,100,0.8761005375423158,0.0,15,87.61,3.02,65.18
4,Tilak Varma,23,India,Batter,LHB,Toporder,0,0,100,0.7197926815796273,0.0,12,71.98,2.57,47.87
5,Abhishek Sharma,25,India,Batter,LHB,Toporder,0,0,150,0.9699560006334619,0.26794721494089524,14,97.0,3.82,69.39
6,Sai Sudharsan,24,India,Batter,LHB,Middleorder,0,0,150,0.8263608551307666,0.0,15,82.64,5.0,100.0
7,Devdutt Padikkal,26,India,Batter,LHB,Toporder,0,0,50,0.6681855674569094,0.0,11,66.82,2.18,43.9
8,Nehal Wadhera,25,India,Batter,LHB,Middleorder,0,0,30,0.6950139389884458,0.0,10,69.5,1.96,36.13
10,Anmolpreet Singh,27,India,Batter,RHB,Middleorder,0,0,30,0.6057315659823401,0.0,8,60.57,1.5,27.12
11,Karun Nair,35,India,Batter,RHB,Middleorder,0,0,30,0.6393466426474584,0.0,9,63.93,1.92,33.76
15,Nicholas Pooran,30,West Indies,Wicketkeeper Batter,LHB,Middleorder,0,0,200,0.9999999944182428,0.0,14,100.0,4.63,78.24
13,Travis Head,32,Australia,Batter,LHB,Toporder,0,0,200,0.8132917981459347,0.0,13,81.33,2.93,61.59
16,Dawid Malan,38,England,Batter,LHB,Toporder,0,0,100,0.6047916846996919,0.0,9,60.48,1.8,33.75
22,Evin Lewis,32,West Indies,Batter,LHB,Toporder,0,0,100,0.6716537684751049,0.0,8,67.17,2.08,33.67
20,Rahmanullah Gurbaz,26,Afghanistan,Wicketkeeper Batter,RHB,Toporder,0,0,50,0.7018613347494528,0.0,11,70.19,2.26,44.49
17,Devon Conway,34,New Zealand,Batter,LHB,Toporder,0,0,100,0.7284074323459755,0.0,13,72.84,3.14,64.72
