player_id,role,cluster
1,Batter,1
2,Wicketkeeper Batter,2
3,Batter,2
4,Batter,0
5,Batter,2
6,Batter,1
7,Batter,0
8,Batter,0
10,Batter,0
11,Batter,0
12,Batter,1
13,Batter,2
14,Wicketkeeper Batter,2
15,Wicketkeeper Batter,2
16,Batter,0
17,Batter,1
18,Wicketkeeper Batter,0
20,Wicketkeeper Batter,0
21,Batter,0
22,Batter,0
23,Batter,1
24,Batter,2
25,Batter,1
26,Batter,1
27,Wicketkeeper Batter,1
28,Batter,1
29,Batter,2
30,Wicketkeeper Batter,2
31,Batter,2
32,Batter,0
34,Batter,0
35,Batter,0
36,Batter,0
37,Wicketkeeper Batter,1
38,Batter,2
39,Batter,0
40,Wicketkeeper Batter,2
41,Wicketkeeper Batter,2
42,Batter,0
43,Batter,2
44,Batter,0
45,Batter,0
46,Wicketkeeper Batter,2
47,Batter,2
50,Batter,0
51,Bowler,1
52,Bowler,1
53,Bowler,2
54,Bowler,2
55,Bowler,2
56,Bowler,2
57,Bowler,2
58,Bowler,2
59,Bowler,2
60,Bowler,1
61,Bowler,1
62,Bowler,2
63,Bowler,1
64,Bowler,2
65,Bowler,2
66,Bowler,2
67,Bowler,0
68,Bowler,1
69,Bowler,2
70,Bowler,0
71,Bowler,2
72,Bowler,2
73,Bowler,2
74,Bowler,1
75,Bowler,2
76,Bowler,2
77,Bowler,2
78,Bowler,1
79,Bowler,2
80,Bowler,2
81,Bowler,2
84,Bowler,2
85,Bowler,0
86,Bowler,1
88,Bowler,2
89,Bowler,1
90,Bowler,2
91,Bowler,2
93,Bowler,2
95,Bowler,2
96,Bowler,0
97,Bowler,0
99,Bowler,2
9,All-rounder,0
19,All-rounder,2
33,All-rounder,0
48,All-rounder,0
49,All-rounder,0
82,All-rounder,1
83,All-rounder,1
87,All-rounder,1
92,All-rounder,1
94,All-rounder,1
98,All-rounder,1
100,All-rounder,1
101,All-rounder,1
102,All-rounder,1
103,All-rounder,0
104,All-rounder,1
105,All-rounder,1
106,All-rounder,1
107,All-rounder,1
108,All-rounder,1
109,All-rounder,1
110,All-rounder,1
111,All-rounder,0
112,All-rounder,0
113,All-rounder,0
114,All-rounder,1
115,All-rounder,0
116,All-rounder,1
117,All-rounder,0
118,All-rounder,1
119,All-rounder,0
120,All-rounder,0
121,All-rounder,1
122,All-rounder,0
123,All-rounder,1
124,All-rounder,0
125,All-rounder,0
126,All-rounder,1
127,All-rounder,1
128,All-rounder,1
